random_id,ols_prediction,rf_prediction
942,247.5,180
5973,396,270
6672,495,324
6733,565.7142857142857,360
7856,618.75,385.7142857142857
5008,660,405
2459,693,420
1889,719.9999999999999,432
4577,742.5,441.8181818181818
2460,761.5384615384615,450
4856,777.8571428571428,456.9230769230769
688,792,462.85714285714283
1899,804.375,468
2699,815.2941176470588,472.5
4315,825,476.47058823529414
4145,833.6842105263157,480
2943,841.4999999999999,483.1578947368421
5273,848.5714285714286,486
5167,854.9999999999999,488.57142857142856
1144,860.8695652173913,490.90909090909093
1176,866.25,493.04347826086956
6152,871.1999999999999,495
6303,875.7692307692307,496.8
1447,880,498.46153846153845
5645,883.9285714285713,500
3172,887.5862068965516,501.42857142857144
7066,891,502.7586206896552
1197,894.1935483870967,504
4179,897.1875,505.16129032258067
1800,900,506.25
6027,902.6470588235294,507.27272727272725
4049,905.1428571428571,508.2352941176471
3395,907.5,509.14285714285717
424,909.7297297297297,510
7675,911.8421052631578,510.81081081081084
4026,913.8461538461538,511.57894736842104
1734,915.7499999999999,512.3076923076923
5972,917.5609756097559,513
430,919.2857142857143,513.6585365853658
5456,920.9302325581394,514.2857142857143
2110,922.4999999999999,514.8837209302326
7429,924,515.4545454545455
2209,925.4347826086956,516
1636,926.8085106382978,516.5217391304348
102,928.125,517.0212765957447
4507,929.3877551020407,517.5
2365,930.5999999999999,517.9591836734694
2947,931.7647058823529,518.4
6823,932.8846153846154,518.8235294117648
6252,933.9622641509433,519.2307692307693
470,935,519.622641509434
7985,936,520
7651,936.9642857142857,520.3636363636364
3960,937.8947368421053,520.7142857142857
1048,938.7931034482758,521.0526315789474
256,939.6610169491524,521.3793103448276
5548,940.5,521.6949152542373
6848,941.311475409836,522
2289,942.0967741935483,522.2950819672132
4336,942.8571428571429,522.5806451612904
8008,943.59375,522.8571428571429
7222,944.3076923076923,523.125
6461,945,523.3846153846154
6621,945.6716417910447,523.6363636363636
6197,946.3235294117646,523.8805970149253
3635,946.9565217391304,524.1176470588235
6088,947.5714285714286,524.3478260869565
2859,948.169014084507,524.5714285714286
7099,948.75,524.7887323943662
1428,949.3150684931506,525
5768,949.8648648648648,525.2054794520548
5229,950.4,525.4054054054054
5319,950.921052631579,525.6
5324,951.4285714285713,525.7894736842105
6792,951.9230769230769,525.974025974026
6660,952.4050632911391,526.1538461538462
5900,952.8749999999999,526.3291139240506
5659,953.3333333333334,526.5
2499,953.7804878048779,526.6666666666666
3294,954.2168674698795,526.829268292683
1453,954.6428571428571,526.9879518072289
7210,955.0588235294116,527.1428571428571
4596,955.4651162790697,527.2941176470588
6862,955.8620689655172,527.4418604651163
4161,956.2499999999999,527.5862068965517
5545,956.629213483146,527.7272727272727
6887,957,527.8651685393259
1489,957.3626373626372,528
1815,957.7173913043478,528.1318681318681
5044,958.0645161290323,528.2608695652174
6634,958.4042553191488,528.3870967741935
2966,958.7368421052631,528.5106382978723
4450,959.0625,528.6315789473684
6217,959.381443298969,528.75
7612,959.6938775510204,528.8659793814433
1880,960,528.9795918367347
6886,960.2999999999998,529.0909090909091
3240,960.5940594059406,529.2
6516,960.8823529411765,529.3069306930693
1210,961.1650485436892,529.4117647058823
202,961.4423076923076,529.5145631067961
1907,961.7142857142857,529.6153846153846
5842,961.9811320754716,529.7142857142857
47,962.2429906542055,529.811320754717
1593,962.5,529.9065420560747
6250,962.7522935779815,530
5739,963,530.0917431192661
152,963.2432432432432,530.1818181818181
2706,963.4821428571428,530.2702702702703
5097,963.716814159292,530.3571428571429
3617,963.9473684210526,530.4424778761062
3736,964.1739130434781,530.5263157894736
1105,964.3965517241379,530.6086956521739
4836,964.6153846153846,530.6896551724138
3590,964.8305084745762,530.7692307692307
827,965.0420168067227,530.8474576271186
5955,965.25,530.9243697478992
5043,965.4545454545454,531
6550,965.655737704918,531.0743801652893
6237,965.8536585365854,531.1475409836065
1859,966.0483870967741,531.219512195122
3706,966.24,531.2903225806451
4186,966.4285714285714,531.36
4212,966.6141732283463,531.4285714285714
5052,966.796875,531.496062992126
1579,966.9767441860465,531.5625
4542,967.1538461538461,531.6279069767442
6075,967.3282442748091,531.6923076923077
1189,967.5,531.7557251908397
6679,967.6691729323308,531.8181818181819
1707,967.8358208955224,531.8796992481203
2198,968,531.9402985074627
4576,968.1617647058823,532
210,968.3211678832116,532.0588235294117
6165,968.4782608695652,532.1167883211679
972,968.6330935251798,532.1739130434783
3803,968.7857142857142,532.2302158273382
7581,968.936170212766,532.2857142857143
4779,969.0845070422534,532.3404255319149
4088,969.2307692307692,532.3943661971831
1942,969.375,532.4475524475524
797,969.5172413793102,532.5
3825,969.6575342465753,532.551724137931
6174,969.795918367347,532.6027397260274
6141,969.9324324324324,532.6530612244898
2682,970.0671140939597,532.7027027027027
1763,970.2,532.751677852349
2352,970.3311258278145,532.8
2808,970.4605263157895,532.8476821192053
3484,970.5882352941177,532.8947368421053
1389,970.7142857142857,532.9411764705883
5082,970.8387096774192,532.987012987013
4527,970.9615384615385,533.0322580645161
4256,971.0828025477706,533.0769230769231
7386,971.2025316455695,533.1210191082803
1280,971.3207547169811,533.1645569620254
5487,971.4374999999999,533.2075471698113
3268,971.5527950310558,533.25
731,971.6666666666666,533.2919254658385
5950,971.7791411042945,533.3333333333334
7121,971.8902439024389,533.3742331288344
2689,972,533.4146341463414
7660,972.1084337349397,533.4545454545455
1795,972.2155688622753,533.4939759036145
5036,972.3214285714286,533.5329341317365
3211,972.4260355029585,533.5714285714286
7128,972.5294117647057,533.6094674556213
131,972.6315789473684,533.6470588235294
6885,972.7325581395348,533.6842105263158
7169,972.8323699421964,533.7209302325581
7406,972.9310344827586,533.7572254335261
4305,973.0285714285714,533.7931034482758
3646,973.1249999999999,533.8285714285714
568,973.2203389830509,533.8636363636364
1303,973.314606741573,533.8983050847457
7939,973.4078212290501,533.9325842696629
6310,973.5,533.9664804469273
12,973.5911602209944,534
1327,973.6813186813185,534.0331491712707
3020,973.7704918032787,534.065934065934
6655,973.8586956521739,534.0983606557377
5983,973.9459459459458,534.1304347826087
1548,974.0322580645161,534.1621621621622
6227,974.1176470588234,534.1935483870968
4665,974.2021276595743,534.2245989304813
1535,974.2857142857143,534.2553191489362
1422,974.3684210526316,534.2857142857143
1484,974.4502617801046,534.3157894736842
3403,974.53125,534.3455497382199
6460,974.6113989637305,534.375
2008,974.6907216494844,534.4041450777202
5651,974.7692307692307,534.4329896907217
2243,974.8469387755101,534.4615384615385
3838,974.9238578680201,534.4897959183673
3911,975,534.5177664974619
3269,975.0753768844221,534.5454545454545
1760,975.1499999999999,534.572864321608
7696,975.223880597015,534.6
5345,975.2970297029702,534.6268656716418
3607,975.3694581280787,534.6534653465346
7017,975.4411764705883,534.679802955665
7323,975.5121951219512,534.7058823529412
6401,975.5825242718446,534.7317073170732
317,975.6521739130435,534.757281553398
4571,975.7211538461538,534.7826086956521
7374,975.7894736842104,534.8076923076923
180,975.8571428571429,534.8325358851674
1017,975.9241706161137,534.8571428571429
262,975.9905660377358,534.8815165876778
5976,976.056338028169,534.9056603773585
3301,976.1214953271027,534.9295774647887
1031,976.1860465116278,534.9532710280374
4196,976.25,534.9767441860465
1477,976.3133640552995,535
3914,976.3761467889907,535.0230414746544
6101,976.4383561643835,535.045871559633
2955,976.5,535.068493150685
7759,976.5610859728506,535.0909090909091
7285,976.6216216216217,535.1131221719457
764,976.6816143497757,535.1351351351351
7934,976.7410714285713,535.1569506726457
6995,976.8,535.1785714285714
4286,976.858407079646,535.2
4253,976.9162995594712,535.2212389380531
1232,976.9736842105264,535.2422907488987
2878,977.0305676855895,535.2631578947369
6057,977.086956521739,535.2838427947598
7908,977.1428571428571,535.304347826087
6767,977.198275862069,535.3246753246754
5599,977.2532188841201,535.3448275862069
3540,977.3076923076923,535.3648068669528
6632,977.3617021276596,535.3846153846154
2328,977.4152542372881,535.4042553191489
941,977.4683544303797,535.4237288135594
7799,977.5210084033613,535.4430379746835
5081,977.5732217573221,535.4621848739496
2932,977.625,535.4811715481171
7056,977.6763485477178,535.5
5834,977.7272727272726,535.5186721991702
2742,977.7777777777778,535.5371900826447
1040,977.827868852459,535.5555555555555
1965,977.8775510204081,535.5737704918033
6455,977.9268292682926,535.5918367346939
244,977.9757085020242,535.609756097561
5963,978.024193548387,535.6275303643724
3655,978.0722891566265,535.6451612903226
2965,978.12,535.6626506024096
4110,978.1673306772907,535.68
7875,978.2142857142857,535.6972111553785
1004,978.2608695652174,535.7142857142857
1904,978.3070866141732,535.7312252964427
3901,978.3529411764706,535.7480314960629
5321,978.3984375,535.7647058823529
3156,978.4435797665369,535.78125
3447,978.4883720930233,535.7976653696498
1529,978.5328185328185,535.8139534883721
2051,978.576923076923,535.8301158301158
994,978.6206896551724,535.8461538461538
2098,978.6641221374045,535.8620689655172
5211,978.7072243346007,535.8778625954199
3239,978.75,535.893536121673
7379,978.7924528301886,535.9090909090909
4208,978.8345864661653,535.9245283018868
4071,978.876404494382,535.9398496240601
2558,978.9179104477612,535.9550561797753
4140,978.9591078066913,535.9701492537314
4126,979,535.9851301115242
2009,979.040590405904,536
2924,979.0808823529411,536.0147601476015
2078,979.1208791208791,536.0294117647059
7355,979.1605839416058,536.0439560439561
7412,979.1999999999999,536.0583941605839
1324,979.2391304347826,536.0727272727273
7897,979.2779783393502,536.0869565217391
7972,979.3165467625898,536.1010830324909
2927,979.3548387096774,536.115107913669
2249,979.3928571428571,536.1290322580645
3385,979.4306049822063,536.1428571428571
6890,979.468085106383,536.1565836298932
96,979.5053003533568,536.1702127659574
6774,979.5422535211267,536.1837455830389
4388,979.578947368421,536.1971830985915
2694,979.6153846153845,536.2105263157895
4266,979.6515679442508,536.2237762237762
4664,979.6875,536.2369337979094
2615,979.7231833910034,536.25
5331,979.7586206896551,536.2629757785467
2122,979.7938144329897,536.2758620689655
6353,979.8287671232877,536.2886597938144
6731,979.8634812286689,536.3013698630137
3264,979.8979591836735,536.3139931740615
4334,979.9322033898304,536.3265306122449
1770,979.9662162162161,536.3389830508474
7188,980,536.3513513513514
6053,980.0335570469798,536.3636363636364
974,980.066889632107,536.3758389261745
3802,980.1,536.3879598662207
2303,980.1328903654485,536.4
7215,980.1655629139073,536.4119601328904
6493,980.1980198019802,536.4238410596026
5674,980.2302631578947,536.4356435643564
649,980.2622950819672,536.4473684210526
3411,980.2941176470588,536.4590163934427
4160,980.3257328990228,536.4705882352941
3034,980.3571428571428,536.4820846905537
379,980.3883495145631,536.4935064935065
1288,980.4193548387095,536.504854368932
359,980.4501607717041,536.516129032258
847,980.4807692307693,536.5273311897106
4185,980.511182108626,536.5384615384615
2695,980.5414012738853,536.5495207667732
6445,980.5714285714286,536.5605095541401
6167,980.6012658227846,536.5714285714286
5266,980.6309148264984,536.5822784810126
4081,980.6603773584906,536.5930599369085
2659,980.6896551724136,536.6037735849056
4799,980.7187499999999,536.6144200626959
353,980.7476635514018,536.625
5158,980.7763975155278,536.6355140186915
141,980.8049535603715,536.6459627329192
3980,980.8333333333334,536.656346749226
1333,980.8615384615383,536.6666666666666
275,980.8895705521471,536.6769230769231
495,980.9174311926605,536.6871165644171
1877,980.9451219512193,536.697247706422
1565,980.9726443768997,536.7073170731708
2137,981,536.7173252279636
1751,981.0271903323262,536.7272727272727
7368,981.0542168674698,536.7371601208459
6193,981.081081081081,536.7469879518072
5096,981.1077844311376,536.7567567567568
1990,981.1343283582089,536.7664670658683
2495,981.1607142857143,536.776119402985
90,981.1869436201779,536.7857142857143
1939,981.2130177514792,536.7952522255193
696,981.2389380530974,536.8047337278107
7224,981.2647058823528,536.8141592920354
1496,981.2903225806451,536.8235294117648
248,981.3157894736842,536.8328445747801
6613,981.3411078717199,536.8421052631579
4414,981.3662790697674,536.8513119533528
766,981.3913043478261,536.8604651162791
757,981.4161849710981,536.8695652173913
3104,981.4409221902017,536.878612716763
3806,981.4655172413793,536.8876080691642
2798,981.4899713467047,536.8965517241379
4039,981.5142857142856,536.9054441260745
1982,981.5384615384615,536.9142857142857
6093,981.5624999999999,536.9230769230769
578,981.5864022662889,536.9318181818181
2238,981.6101694915254,536.9405099150142
4995,981.6338028169013,536.9491525423729
3008,981.6573033707865,536.9577464788732
5301,981.6806722689075,536.9662921348314
1258,981.7039106145251,536.9747899159664
3536,981.7270194986072,536.9832402234637
523,981.75,536.991643454039
5991,981.7728531855954,537
385,981.7955801104972,537.0083102493074
5498,981.8181818181819,537.0165745856353
4645,981.8406593406593,537.0247933884298
4500,981.8630136986301,537.032967032967
6013,981.8852459016393,537.0410958904109
3715,981.9073569482288,537.0491803278688
5539,981.9293478260869,537.0572207084468
3187,981.9512195121952,537.0652173913044
7977,981.9729729729728,537.0731707317074
4735,981.9946091644205,537.081081081081
6305,982.016129032258,537.088948787062
255,982.0375335120642,537.0967741935484
4932,982.0588235294117,537.1045576407507
2856,982.08,537.1122994652407
6456,982.1010638297871,537.12
1966,982.1220159151193,537.1276595744681
633,982.1428571428571,537.1352785145889
3298,982.1635883905012,537.1428571428571
2643,982.1842105263157,537.1503957783641
4293,982.2047244094488,537.1578947368421
6807,982.2251308900522,537.1653543307086
4702,982.2454308093994,537.17277486911
943,982.265625,537.1801566579635
7142,982.2857142857142,537.1875
487,982.3056994818652,537.1948051948052
3014,982.3255813953489,537.2020725388601
1758,982.3453608247421,537.2093023255813
7466,982.3650385604112,537.2164948453608
1250,982.3846153846154,537.2236503856041
7151,982.4040920716111,537.2307692307693
5535,982.4234693877551,537.2378516624041
2657,982.4427480916031,537.2448979591836
7525,982.4619289340101,537.2519083969465
6301,982.4810126582278,537.258883248731
3531,982.5,537.2658227848101
6715,982.5188916876573,537.2727272727273
7789,982.537688442211,537.27959697733
3401,982.5563909774436,537.286432160804
2634,982.5749999999999,537.2932330827068
7236,982.5935162094762,537.3
5070,982.6119402985074,537.3067331670823
6953,982.6302729528535,537.3134328358209
